Referencia,Componente,Valor,Tipo,Quantidade,Fornecedor,Custo_Unitario_USD,Subtotal_USD,Notas,
U1,ESP32-WROOM-32E Microcontroller,240MHz Xtensa,MCU,1,LCSC,3.5,3.5,Dual-core WiFi + BLE (LCSC C701343),
U2,TI DRV8302 Gate Driver,3-phase driver 8-60V,IC Gate Driver,1,LCSC,7.72,7.72,PVDD 8-60V - somente bancada (C84672). Buck integrado TPS54160 5V/3.3V p/ MCU,
Q1-Q3,IRFB4110 High-Side MOSFET,100V 180A 4.5mOhm,MOSFET,3,LCSC,1.5,4.5,CORRIGIDO: substitui IPP65R600P7 (que era 600V/~6A/0.6R, nao 100A/0.01R)
Q4-Q6,IRFB4110 Low-Side MOSFET,100V 180A 4.5mOhm,MOSFET,3,LCSC,1.5,4.5,CORRIGIDO,
C1,Capacitor Bank,470uF 450V,Capacitor,2,LCSC,2.5,5,Samyoung TLS $2.74 - vale p/ 48V e p/ 400V futuro,
C_boot1,Bootstrap Cap Phase U,10uF 50V,Capacitor,1,LCSC,0.15,0.15,HS gate drive voltage,
C_boot2,Bootstrap Cap Phase V,10uF 50V,Capacitor,1,LCSC,0.15,0.15,HS gate drive voltage,
C_boot3,Bootstrap Cap Phase W,10uF 50V,Capacitor,1,LCSC,0.15,0.15,HS gate drive voltage,
Cfilter_1,MCU Decoupling,100uF 10V,Capacitor,1,LCSC,0.3,0.3,Bulk decoupling ESP32,
Cfilter_2,MCU Bypass,100nF 16V,Capacitor,4,LCSC,0.01,0.04,Ceramic bypass (each VDD pin),
Cfilter_adc,ADC Filter,10nF 16V,Capacitor,1,LCSC,0.01,0.01,ADC supply LC filter,
Rgate_u,Gate Series Resistor,10 Ohm 1/4W,Resistor,3,LCSC,0.02,0.06,Damp high-frequency ringing on gate,
Rgate_v,Gate Series Resistor,10 Ohm 1/4W,Resistor,3,LCSC,0.02,0.06,Damp high-frequency ringing on gate,
Rgate_w,Gate Series Resistor,10 Ohm 1/4W,Resistor,3,LCSC,0.02,0.06,Damp high-frequency ringing on gate,
Rgate_ls_u,Gate Pull-Down,10k 1/4W,Resistor,1,LCSC,0.01,0.01,Ensure LS off during dead-time,
Rgate_ls_v,Gate Pull-Down,10k 1/4W,Resistor,1,LCSC,0.01,0.01,Ensure LS off during dead-time,
Rgate_ls_w,Gate Pull-Down,10k 1/4W,Resistor,1,LCSC,0.01,0.01,Ensure LS off during dead-time,
Rdamp_u,EMI Damping Ferrite,100 Ohm 0603,Resistor,3,LCSC,0.05,0.15,Parallel to ferrite bead on phase outputs,
Rdamp_v,EMI Damping Ferrite,100 Ohm 0603,Resistor,3,LCSC,0.05,0.15,Parallel to ferrite bead on phase outputs,
Rdamp_w,EMI Damping Ferrite,100 Ohm 0603,Resistor,3,LCSC,0.05,0.15,Parallel to ferrite bead on phase outputs,
Rdischarge,Safety Discharge,1M 5W,Resistor,1,LCSC,0.2,0.2,Bleed DC link to ground when powered off,
R_shunt_u,Current Sense Shunt,0.001 Ohm 2% 3W,Resistor,1,LCSC,1.5,1.5,Phase U current (ampl. interno DRV8302),
R_shunt_v,Current Sense Shunt,0.001 Ohm 2% 3W,Resistor,1,LCSC,1.5,1.5,Phase V current (ampl. interno DRV8302),
R_shunt_w,Current Sense Shunt,0.001 Ohm 2% 3W,Resistor,1,LCSC,1.5,1.5,Phase W current (ampl. interno DRV8302),
R_temperature_1,NTC Thermistor Motor,10k 1% B=3470,Thermistor,1,LCSC,0.15,0.15,Motor temperature sensing,
R_temperature_2,NTC Thermistor Driver,10k 1% B=3470,Thermistor,1,LCSC,0.15,0.15,Driver heatsink temperature,
Lvcc,LDO Supply Inductor,10uH,Inductor,1,LCSC,0.1,0.1,LC filter on VCC (3.3V from DRV8302 buck),
Lfilter_u,Ferrite Bead Phase U,1uH 600MHz,Ferrite Bead,1,LCSC,0.05,0.05,EMI suppression on phase U,
Lfilter_v,Ferrite Bead Phase V,1uH 600MHz,Ferrite Bead,1,LCSC,0.05,0.05,EMI suppression on phase V,
Lfilter_w,Ferrite Bead Phase W,1uH 600MHz,Ferrite Bead,1,LCSC,0.05,0.05,EMI suppression on phase W,
D_bootstrap_u,Bootstrap Diode,3A 200V Ultra Fast,Diode,1,LCSC,0.1,0.1,Bootstrap charge,
D_bootstrap_v,Bootstrap Diode,3A 200V Ultra Fast,Diode,1,LCSC,0.1,0.1,Bootstrap charge,
D_bootstrap_w,Bootstrap Diode,3A 200V Ultra Fast,Diode,1,LCSC,0.1,0.1,Bootstrap charge,
D_tvs_1,TVS Protection Diode,50V 10A Bidirectional,TVS Diode,1,LCSC,0.3,0.3,Over-voltage clamp input (48V link),
